Method,Period,Trades,Weeks,R0TotalR,V1TotalR,DeltaTotalR,AvgDeltaR,Improved,Harmed,Unchanged,CI_L,CI_U
ATR,Historical,9482,358,729.11113054,669.5131251629999,-59.59800537700001,-0.006285383397700908,3782,3701,1999,,
ATR,Recent A,2688,102,327.28838053,286.122314125,-41.16606640500001,-0.015314756847098219,1161,1194,333,,
ATR,Recent B,2701,103,281.752204199,244.12538589599998,-37.62681830300001,-0.013930699112550909,1224,1190,287,,
ATR,2026 Monitor,966,36,22.101648493,18.633842433,-3.467806059999999,-0.0035898613457556925,444,433,89,,
ATR,Recent Combined,6355,241,631.142233222,548.8815424539999,-82.260690768,-0.012944247170416995,2829,2817,709,,
ATR,ALL,15837,599,1360.253363762,1218.3946676169999,-141.85869614499998,-0.0089574222482162,6611,6518,2708,-0.013554273329280291,-0.004444158190725571
RV,Historical,9482,358,729.11113054,651.6796456039999,-77.43148493600002,-0.008166155340223583,3730,3769,1983,,
RV,Recent A,2688,102,327.28838053,274.83606828200004,-52.452312248,-0.019513509020833333,1139,1201,348,,
RV,Recent B,2701,103,281.752204199,239.87851375800003,-41.873690441,-0.015503032373565347,1239,1180,282,,
RV,2026 Monitor,966,36,22.101648493,20.846561109999996,-1.2550873830000013,-0.0012992623012422373,453,422,91,,
RV,Recent Combined,6355,241,631.142233222,535.56114315,-95.581090072,-0.015040297414948858,2831,2803,721,,
RV,ALL,15837,599,1360.253363762,1187.2407887539998,-173.012575008,-0.010924580097745785,6561,6572,2704,-0.015973989198034378,-0.005728919690922212
